Signal,RMSE (original),RMSE (Scaled),RMSE (Normalized)
r_sum_abs_41_fp,0.0,0.0,0.0
r_sum_abs_16_clip,38669737473.66856,0.9830097614263802,0.32943004471449194
r_sum_abs_16_trunc,38669768385.20368,1.780418267737944e-05,0.0007709304131843884
