Signal,RMSE (original),RMSE (Scaled),RMSE (Normalized)
m_fp,0.0,0.0,0.0
m_best,0.0005828702669407286,0.0005828702669407286,0.0007159699344748432
m_vcd,150964.79299517817,0.2893615083434503,0.0025901519544730195
