Signal,RMSE (original),RMSE (Scaled),RMSE (Normalized)
r2_fp,0.0,0.0,0.0
r2_best,1.659144007732086e+21,0.00017181833716961253,0.0011959975249739786
r2_vcd,1.6591440077320864e+21,0.0003377518032496777,0.0009010260055074492
