Signal,RMSE (original),RMSE (Scaled),RMSE (Normalized)
r_sum_41_fp,0.0,0.0,0.0
r_sum_16_clip,8799677347.365332,1.356812089456954,0.8450655985424487
r_sum_16_trunc,8799698957.206783,0.004009673374801882,0.002124212948186967
r_sum_clip_25_fp,8793492759.343723,0.3886656499500188,0.1364202291158148
r_sum_clip_16_clip,8799678547.65378,1.3468420324381978,0.8484663561658639
r_sum_clip_16_trunc,8799693027.18868,0.1906047446755276,0.1364310135468423
r_sum_trunc_25_fp,8799564940.39524,2.0050800712852254e-05,0.0008812746142328807
r_sum_trunc_16_clip,8799679100.319225,0.8357578325017406,0.4327017720705512
r_sum_trunc_16_trunc,8799698957.298918,0.004012541311063242,0.002923109006683594
